TREE_TYPE;TREE_ID;VERSION;NODE_ID;PARENT_ID;LEV;NODE_TYPE;TECH_NAME;LOGICAL_PATH;FULL_PATH;LENGTH;DATA_TYPE;ATOM_HANDL;MP_SC_TAB;MP_SC_FLD;MP_OFFSET;MP_SC_OFFSET;MP_CONST;MP_EXIT_FUNC;CK_EXIT_FUNC;CONDITIONS;ORIGIN;STATUS;VAR_NAME;TEXT
PAYM;Z_PT_CGI_XML_CT_V9;000;N_6526782610;ROOT;001;ELEM;Document;/Document;/Document;0000;C;;;;000;000;;;;;INHERITED_FROM_PARENT;ACTIVE;;
PAYM;Z_PT_CGI_XML_CT_V9;000;N_8996309460;N_6526782610;000;XMAT;xmlns;/Document/@xmlns;/Document/@xmlns;0000;C;;;;000;000;;;;;INHERITED_FROM_PARENT;ACTIVE;;Default XML namespace
PAYM;Z_PT_CGI_XML_CT_V9;000;N_0622099430;N_8996309460;000;ATOM;ISO;/Document/@xmlns/:atom:ISO;/Document/@xmlns/:atom:ISO;0070;C;;;;000;000;urn:iso:std:iso:20022:tech:xsd:pain.001.001.09;;;FPM_CGI-XMLNS = SPACE;INHERITED_FROM_PARENT;ACTIVE;;
PAYM;Z_PT_CGI_XML_CT_V9;000;N_7913789990;N_8996309460;000;ATOM;Para;/Document/@xmlns/:atom:Para;/Document/@xmlns/:atom:Para;0070;C;;FPM_CGI;XMLNS;000;000;;;;FPM_CGI-XMLNS <> SPACE;INHERITED_FROM_PARENT;ACTIVE;;
PAYM;Z_PT_CGI_XML_CT_V9;000;N_5979576990;N_6526782610;000;XMAT;xmlns:xsi;/Document/@xmlns:xsi;/Document/@xmlns:xsi;0000;C;;;;000;000;;;;;INHERITED_FROM_PARENT;ACTIVE;;XML namespace for XMLSchema-instance
PAYM;Z_PT_CGI_XML_CT_V9;000;N_1510283750;N_5979576990;000;ATOM;ISO;/Document/@xmlns:xsi/:atom:ISO;/Document/@xmlns:xsi/:atom:ISO;0070;C;;;;000;000;http://www.w3.org/2001/XMLSchema-instance;;;FPM_CGI-XSI = SPACE;INHERITED_FROM_PARENT;ACTIVE;;
PAYM;Z_PT_CGI_XML_CT_V9;000;N_3606440470;N_5979576990;000;ATOM;Para;/Document/@xmlns:xsi/:atom:Para;/Document/@xmlns:xsi/:atom:Para;0070;C;;FPM_CGI;XSI;000;000;;;;FPM_CGI-XSI <> SPACE;INHERITED_FROM_PARENT;ACTIVE;;
PAYM;Z_PT_CGI_XML_CT_V9;000;N_7050014740;N_6526782610;000;XMAT;xsi:schemaLocation;/Document/@xsi:schemaLocation;/Document/@xsi:schemaLocation;0000;C;;FPM_CGI;SCHEMALOCATION;000;000;;;;FPM_CGI-SCHEMALOCATION <> SPACE;INHERITED_FROM_PARENT;ACTIVE;;Locates schemas for elements and attributes
PAYM;Z_PT_CGI_XML_CT_V9;000;N_3041630990;N_6526782610;001;ELEM;CstmrCdtTrfInitn;/Document/CstmrCdtTrfInitn;/Document/CstmrCdtTrfInitn;0000;C;;;;000;000;;;;;INHERITED_FROM_PARENT;ACTIVE;;Customer Credit Transfer Initiation
PAYM;Z_PT_CGI_XML_CT_V9;000;N_4806967320;N_3041630990;001;ELEM;GrpHdr;/Document/CstmrCdtTrfInitn/GrpHdr;/Document/CstmrCdtTrfInitn/GrpHdr;0000;C;;;;000;000;;;;;INHERITED_FROM_PARENT;ACTIVE;;Set of characteristics shared by all individ. transactions incl. in message
